,Distribution_type,U,Sigma,U2,Sigma2,mixing_prob,limitk,per_red,Objective_function_value,Solution_locations,Running_time(sec)
0,Normal_bimodal,180,30,300,60,0.2,300,5.0,472.5080376578529,4 1|2 5|1 1,1.6697844
1,Normal_bimodal,180,30,300,60,0.2,300,15.0,472.5080376578529,5 5|0 2|5 0,3.8894837
2,Normal_bimodal,180,30,300,60,0.2,300,25.0,472.5080376578529,5 5|0 2|5 0,3.8838887
3,Normal_bimodal,180,30,300,60,0.2,300,40.0,472.5080376578529,5 5|0 2|5 0,4.3329291
4,Normal_bimodal,180,30,300,60,0.2,300,50.0,472.5080376578529,5 5|0 2|5 0,4.1159113
5,Normal_bimodal,180,30,300,60,0.4,300,5.0,431.4195644172034,0 2|3 1|3 4,2.0036041
6,Normal_bimodal,180,30,300,60,0.4,300,15.0,431.4195644172034,3 5|0 2|3 2,4.4754071
7,Normal_bimodal,180,30,300,60,0.4,300,25.0,431.4195644172034,3 5|0 2|3 2,4.3748523
8,Normal_bimodal,180,30,300,60,0.4,300,40.0,431.4195644172034,3 5|0 2|3 2,4.2281579
9,Normal_bimodal,180,30,300,60,0.4,300,50.0,431.4195644172034,3 5|0 2|3 2,4.8614822
10,Normal_bimodal,180,30,300,60,0.5,300,5.0,414.70616863076305,2 5|1 2|4 2,2.1142009
11,Normal_bimodal,180,30,300,60,0.5,300,15.0,414.70616863076305,1 5|2 2|4 5,5.2822014
12,Normal_bimodal,180,30,300,60,0.5,300,25.0,414.70616863076305,1 5|2 2|4 5,4.1727261
13,Normal_bimodal,180,30,300,60,0.5,300,40.0,414.70616863076305,1 5|2 2|4 5,4.2312033
14,Normal_bimodal,180,30,300,60,0.5,300,50.0,414.70616863076305,1 5|2 2|4 5,4.5416226
15,Normal_bimodal,180,30,300,60,0.6,300,5.0,386.6490012094265,4 4|1 3|3 0,1.8578812
16,Normal_bimodal,180,30,300,60,0.6,300,15.0,386.6490012094265,1 1|2 4|4 3,5.1531416
17,Normal_bimodal,180,30,300,60,0.6,300,25.0,386.6490012094265,1 1|2 4|4 3,4.6550159
18,Normal_bimodal,180,30,300,60,0.6,300,40.0,386.6490012094265,1 1|2 4|4 3,4.7606602
19,Normal_bimodal,180,30,300,60,0.6,300,50.0,386.6490012094265,1 1|2 4|4 3,4.4493566
20,Normal_bimodal,180,30,300,60,0.8,300,5.0,354.0792098163853,5 1|1 1|3 4,1.7418829
21,Normal_bimodal,180,30,300,60,0.8,300,15.0,348.7346201110234,0 1|5 2|5 1,4.5517169
22,Normal_bimodal,180,30,300,60,0.8,300,25.0,348.7346201110234,0 1|5 2|5 1,4.5425706
23,Normal_bimodal,180,30,300,60,0.8,300,40.0,348.7346201110234,0 1|5 2|5 1,4.7156345
24,Normal_bimodal,180,30,300,60,0.8,300,50.0,348.7346201110234,0 1|5 2|5 1,4.491331
25,Normal_bimodal,180,30,300,50,0.2,300,5.0,473.57090802822324,4 1|2 5|1 1,1.6901364
26,Normal_bimodal,180,30,300,50,0.2,300,15.0,473.57090802822324,5 5|0 2|5 0,5.0294909
27,Normal_bimodal,180,30,300,50,0.2,300,25.0,473.57090802822324,5 5|0 2|5 0,4.5604427
28,Normal_bimodal,180,30,300,50,0.2,300,40.0,473.57090802822324,5 5|0 2|5 0,4.539365
29,Normal_bimodal,180,30,300,50,0.2,300,50.0,473.57090802822324,5 5|0 2|5 0,4.5358474
30,Normal_bimodal,180,30,300,50,0.4,300,5.0,431.7424347875738,0 2|3 1|3 4,2.6739785
31,Normal_bimodal,180,30,300,50,0.4,300,15.0,431.7424347875738,3 4|5 2|1 1,4.841332
32,Normal_bimodal,180,30,300,50,0.4,300,25.0,431.7424347875738,3 4|5 2|1 1,4.5212898
33,Normal_bimodal,180,30,300,50,0.4,300,40.0,431.7424347875738,3 4|5 2|1 1,4.643993
34,Normal_bimodal,180,30,300,50,0.4,300,50.0,431.7424347875738,3 4|5 2|1 1,4.4428233
35,Normal_bimodal,180,30,300,50,0.5,300,5.0,414.6217241863186,2 5|1 2|4 2,2.0651094
36,Normal_bimodal,180,30,300,50,0.5,300,15.0,414.6217241863186,1 5|2 2|4 5,4.4761354
37,Normal_bimodal,180,30,300,50,0.5,300,25.0,414.6217241863186,1 5|2 2|4 5,4.5447034
38,Normal_bimodal,180,30,300,50,0.5,300,40.0,414.6217241863186,1 5|2 2|4 5,4.5316183
39,Normal_bimodal,180,30,300,50,0.5,300,50.0,414.6217241863186,1 5|2 2|4 5,4.5215434
40,Normal_bimodal,180,30,300,50,0.6,300,5.0,386.6487234316487,4 4|1 3|3 0,2.0983154
41,Normal_bimodal,180,30,300,50,0.6,300,15.0,386.6487234316487,1 1|2 4|4 3,4.4740536
42,Normal_bimodal,180,30,300,50,0.6,300,25.0,386.6487234316487,1 1|2 4|4 3,4.6605508
43,Normal_bimodal,180,30,300,50,0.6,300,40.0,386.6487234316487,1 1|2 4|4 3,6.2480365
44,Normal_bimodal,180,30,300,50,0.6,300,50.0,386.6487234316487,1 1|2 4|4 3,5.7054049
45,Normal_bimodal,180,30,300,50,0.8,300,5.0,353.9215246312001,5 1|1 1|3 4,1.9108782
46,Normal_bimodal,180,30,300,50,0.8,300,15.0,348.8450830739863,1 0|0 5|0 2,4.8528316
47,Normal_bimodal,180,30,300,50,0.8,300,25.0,348.8450830739863,1 0|0 5|0 2,4.8777228
48,Normal_bimodal,180,30,300,50,0.8,300,40.0,348.8450830739863,1 0|0 5|0 2,5.1413408
49,Normal_bimodal,180,30,300,50,0.8,300,50.0,348.8450830739863,1 0|0 5|0 2,5.0739621
50,Normal_bimodal,180,30,300,40,0.2,300,5.0,474.7763709911862,4 1|2 5|1 1,1.8123911
51,Normal_bimodal,180,30,300,40,0.2,300,15.0,474.7763709911862,5 5|0 2|5 0,4.6422194
52,Normal_bimodal,180,30,300,40,0.2,300,25.0,474.7763709911862,5 5|0 2|5 0,4.5727745
53,Normal_bimodal,180,30,300,40,0.2,300,40.0,474.7763709911862,5 5|0 2|5 0,5.7492598
54,Normal_bimodal,180,30,300,40,0.2,300,50.0,474.7763709911862,5 5|0 2|5 0,4.621587
55,Normal_bimodal,180,30,300,40,0.4,300,5.0,432.12647799745037,0 2|3 1|3 4,2.3802173
56,Normal_bimodal,180,30,300,40,0.4,300,15.0,432.12647799745037,3 4|5 2|1 1,4.6971688
57,Normal_bimodal,180,30,300,40,0.4,300,25.0,432.12647799745037,3 4|5 2|1 1,4.7843586
58,Normal_bimodal,180,30,300,40,0.4,300,40.0,432.12647799745037,3 4|5 2|1 1,4.6778535
59,Normal_bimodal,180,30,300,40,0.4,300,50.0,432.12647799745037,3 4|5 2|1 1,4.6874426
60,Normal_bimodal,180,30,300,40,0.5,300,5.0,414.52394640854084,2 5|1 2|4 2,2.1520383
61,Normal_bimodal,180,30,300,40,0.5,300,15.0,414.52394640854084,1 5|2 2|4 5,4.7313168
62,Normal_bimodal,180,30,300,40,0.5,300,25.0,414.52394640854084,1 5|2 2|4 5,4.8853067
63,Normal_bimodal,180,30,300,40,0.5,300,40.0,414.52394640854084,1 5|2 2|4 5,4.6495889
64,Normal_bimodal,180,30,300,40,0.5,300,50.0,414.52394640854084,1 5|2 2|4 5,5.1794622
65,Normal_bimodal,180,30,300,40,0.6,300,5.0,386.6649734316487,4 4|1 3|3 0,2.0393192
66,Normal_bimodal,180,30,300,40,0.6,300,15.0,386.65973393078053,1 1|2 4|4 3,4.4518402
67,Normal_bimodal,180,30,300,40,0.6,300,25.0,386.65973393078053,1 1|2 4|4 3,4.500996
68,Normal_bimodal,180,30,300,40,0.6,300,40.0,386.65973393078053,1 1|2 4|4 3,5.7388533
69,Normal_bimodal,180,30,300,40,0.6,300,50.0,386.65973393078053,1 1|2 4|4 3,4.8782267
70,Normal_bimodal,180,30,300,40,0.8,300,5.0,353.7635616682371,5 1|1 1|3 4,1.9865636
71,Normal_bimodal,180,30,300,40,0.8,300,15.0,348.97031455546767,3 1|3 3|1 2,5.051117
72,Normal_bimodal,180,30,300,40,0.8,300,25.0,348.97031455546767,3 1|3 3|1 2,4.8744123
73,Normal_bimodal,180,30,300,40,0.8,300,40.0,348.97031455546767,3 1|3 3|1 2,5.0238753
74,Normal_bimodal,180,30,300,40,0.8,300,50.0,348.97031455546767,3 1|3 3|1 2,5.0194224
75,Normal_bimodal,180,30,300,30,0.2,300,5.0,476.1333154356306,5 5|0 2|5 0,4.7881798
76,Normal_bimodal,180,30,300,30,0.2,300,15.0,476.1333154356306,5 5|0 2|5 0,6.1552558
77,Normal_bimodal,180,30,300,30,0.2,300,25.0,476.1333154356306,5 5|0 2|5 0,4.6812484
78,Normal_bimodal,180,30,300,30,0.2,300,40.0,476.1333154356306,5 5|0 2|5 0,5.0578394
79,Normal_bimodal,180,30,300,30,0.2,300,50.0,476.1333154356306,5 5|0 2|5 0,5.0995294
80,Normal_bimodal,180,30,300,30,0.4,300,5.0,432.5325582443639,0 2|3 1|3 4,3.1473146
81,Normal_bimodal,180,30,300,30,0.4,300,15.0,432.5325582443639,3 4|5 2|1 1,6.026039
82,Normal_bimodal,180,30,300,30,0.4,300,25.0,432.5325582443639,3 4|5 2|1 1,6.3586792
83,Normal_bimodal,180,30,300,30,0.4,300,40.0,432.5325582443639,3 4|5 2|1 1,6.669132
84,Normal_bimodal,180,30,300,30,0.4,300,50.0,432.5325582443639,3 4|5 2|1 1,6.1868063
85,Normal_bimodal,180,30,300,30,0.5,300,5.0,414.3593630752075,2 5|1 2|4 2,2.2642437
86,Normal_bimodal,180,30,300,30,0.5,300,15.0,414.3593630752075,1 5|2 2|4 5,5.7793445
87,Normal_bimodal,180,30,300,30,0.5,300,25.0,414.3593630752075,1 5|2 2|4 5,4.9983029
88,Normal_bimodal,180,30,300,30,0.5,300,40.0,414.3593630752075,1 5|2 2|4 5,5.2455759
89,Normal_bimodal,180,30,300,30,0.5,300,50.0,414.3593630752075,1 5|2 2|4 5,5.1724176
90,Normal_bimodal,180,30,300,30,0.6,300,5.0,386.6627975057228,4 4|1 3|3 0,2.2658307
91,Normal_bimodal,180,30,300,30,0.6,300,15.0,386.65445615300274,1 1|2 4|4 3,5.6232369
92,Normal_bimodal,180,30,300,30,0.6,300,25.0,386.65445615300274,1 1|2 4|4 3,7.4972976
93,Normal_bimodal,180,30,300,30,0.6,300,40.0,386.65445615300274,1 1|2 4|4 3,6.6784233
94,Normal_bimodal,180,30,300,30,0.6,300,50.0,386.65445615300274,1 1|2 4|4 3,5.2724807
95,Normal_bimodal,180,30,300,30,0.8,300,5.0,353.604626483052,5 1|1 1|3 4,2.1299433
96,Normal_bimodal,180,30,300,30,0.8,300,15.0,349.07781455546774,3 1|3 3|1 2,5.2750687
97,Normal_bimodal,180,30,300,30,0.8,300,25.0,349.07781455546774,3 1|3 3|1 2,5.2110892
98,Normal_bimodal,180,30,300,30,0.8,300,40.0,349.07781455546774,3 1|3 3|1 2,5.3467941
99,Normal_bimodal,180,30,300,30,0.8,300,50.0,349.07781455546774,3 1|3 3|1 2,6.2986929
100,Normal_bimodal,180,30,300,20,0.2,300,5.0,477.64350062081576,5 5|0 2|5 0,6.5125615
101,Normal_bimodal,180,30,300,20,0.2,300,15.0,477.64350062081576,5 5|0 2|5 0,4.9496818
102,Normal_bimodal,180,30,300,20,0.2,300,25.0,477.64350062081576,5 5|0 2|5 0,6.49739
103,Normal_bimodal,180,30,300,20,0.2,300,40.0,477.64350062081576,5 5|0 2|5 0,6.4657183
104,Normal_bimodal,180,30,300,20,0.2,300,50.0,477.64350062081576,5 5|0 2|5 0,5.3413066
105,Normal_bimodal,180,30,300,20,0.4,300,5.0,432.9657372567096,0 2|3 1|3 4,2.4119012
106,Normal_bimodal,180,30,300,20,0.4,300,15.0,432.9657372567096,3 4|5 2|1 1,4.614383
107,Normal_bimodal,180,30,300,20,0.4,300,25.0,432.9657372567096,3 4|5 2|1 1,5.3677674
108,Normal_bimodal,180,30,300,20,0.4,300,40.0,432.9657372567096,3 4|5 2|1 1,5.3548729
109,Normal_bimodal,180,30,300,20,0.4,300,50.0,432.9657372567096,3 4|5 2|1 1,5.1851404
110,Normal_bimodal,180,30,300,20,0.5,300,5.0,414.08917789002226,2 5|1 2|4 2,2.5552361
111,Normal_bimodal,180,30,300,20,0.5,300,15.0,414.08917789002226,1 5|2 2|4 5,6.8217604
112,Normal_bimodal,180,30,300,20,0.5,300,25.0,414.08917789002226,1 5|2 2|4 5,5.7950233
113,Normal_bimodal,180,30,300,20,0.5,300,40.0,414.08917789002226,1 5|2 2|4 5,5.0174363
114,Normal_bimodal,180,30,300,20,0.5,300,50.0,414.08917789002226,1 5|2 2|4 5,5.5587243
115,Normal_bimodal,180,30,300,20,0.6,300,5.0,386.64427898720425,4 4|1 3|3 0,2.236231
116,Normal_bimodal,180,30,300,20,0.6,300,15.0,386.6122647949781,1 1|2 4|4 3,5.9799326
117,Normal_bimodal,180,30,300,20,0.6,300,25.0,386.6122647949781,1 1|2 4|4 3,5.7196947
118,Normal_bimodal,180,30,300,20,0.6,300,40.0,386.6122647949781,1 1|2 4|4 3,5.4170619
119,Normal_bimodal,180,30,300,20,0.6,300,50.0,386.6122647949781,1 1|2 4|4 3,5.7023576
120,Normal_bimodal,180,30,300,20,0.8,300,5.0,353.4660153719408,5 1|1 1|3 4,3.8389299
121,Normal_bimodal,180,30,300,20,0.8,300,15.0,349.1511015925048,3 1|3 3|1 2,5.3104668
122,Normal_bimodal,180,30,300,20,0.8,300,25.0,349.1511015925048,3 1|3 3|1 2,5.2162124
123,Normal_bimodal,180,30,300,20,0.8,300,40.0,349.1511015925048,3 1|3 3|1 2,5.1835858
124,Normal_bimodal,180,30,300,20,0.8,300,50.0,349.1511015925048,3 1|3 3|1 2,5.0323043
125,Normal_bimodal,180,30,120,30,0.2,300,5.0,286.99815524163716,1 1|1 5|4 3,2.3501877
126,Normal_bimodal,180,30,120,30,0.2,300,15.0,286.99815524163716,3 1|0 4|1 4,7.7163531
127,Normal_bimodal,180,30,120,30,0.2,300,25.0,286.99815524163716,3 1|0 4|1 4,7.3395164
128,Normal_bimodal,180,30,120,30,0.2,300,40.0,286.99815524163716,3 1|0 4|1 4,7.9162091
129,Normal_bimodal,180,30,120,30,0.2,300,50.0,286.99815524163716,3 1|0 4|1 4,7.3554609
130,Normal_bimodal,180,30,120,30,0.4,300,5.0,265.58180809646547,1 1|1 5|4 3,2.0793601
131,Normal_bimodal,180,30,120,30,0.4,300,15.0,265.58180809646547,3 0|4 3|1 1,7.2420574
132,Normal_bimodal,180,30,120,30,0.4,300,25.0,265.58180809646547,3 0|4 3|1 1,9.7577279
133,Normal_bimodal,180,30,120,30,0.4,300,40.0,265.58180809646547,3 0|4 3|1 1,8.8758224
134,Normal_bimodal,180,30,120,30,0.4,300,50.0,265.58180809646547,3 0|4 3|1 1,8.446255
135,Normal_bimodal,180,30,120,30,0.5,300,5.0,255.2772247631321,1 1|1 5|4 3,2.6009971
136,Normal_bimodal,180,30,120,30,0.5,300,15.0,253.63409106711498,2 1|4 3|0 0,12.0711038
137,Normal_bimodal,180,30,120,30,0.5,300,25.0,253.63409106711498,2 1|4 3|0 0,10.0912622
138,Normal_bimodal,180,30,120,30,0.5,300,40.0,253.63409106711498,2 1|4 3|0 0,11.1927202
139,Normal_bimodal,180,30,120,30,0.5,300,50.0,253.63409106711498,2 1|4 3|0 0,9.3977318
140,Normal_bimodal,180,30,120,30,0.6,300,5.0,245.0556969853543,1 1|1 5|4 3,2.4861615
141,Normal_bimodal,180,30,120,30,0.6,300,15.0,242.1696132216106,2 2|2 0|5 2,10.3712063
142,Normal_bimodal,180,30,120,30,0.6,300,25.0,242.1696132216106,2 2|2 0|5 2,9.3368285
143,Normal_bimodal,180,30,120,30,0.6,300,40.0,242.1696132216106,2 2|2 0|5 2,8.3174126
144,Normal_bimodal,180,30,120,30,0.6,300,50.0,242.1696132216106,2 2|2 0|5 2,10.5025848
145,Normal_bimodal,180,30,120,30,0.8,300,5.0,225.17947429999967,1 2|4 1|3 5,2.4727434
146,Normal_bimodal,180,30,120,30,0.8,300,15.0,223.79619163242182,4 5|2 1|0 0,11.3642413
147,Normal_bimodal,180,30,120,30,0.8,300,25.0,223.79619163242182,4 5|2 1|0 0,10.1433822
148,Normal_bimodal,180,30,120,30,0.8,300,40.0,223.79619163242182,4 5|2 1|0 0,10.0147188
149,Normal_bimodal,180,30,120,30,0.8,300,50.0,223.79619163242182,4 5|2 1|0 0,12.2031938
150,Normal_bimodal,180,30,120,20,0.2,300,5.0,287.1294515379335,1 1|1 5|4 3,3.0673932
151,Normal_bimodal,180,30,120,20,0.2,300,15.0,287.1294515379335,3 1|0 4|1 4,7.4860276
152,Normal_bimodal,180,30,120,20,0.2,300,25.0,287.1294515379335,3 1|0 4|1 4,7.4382224
153,Normal_bimodal,180,30,120,20,0.2,300,40.0,287.1294515379335,3 1|0 4|1 4,7.2263424
154,Normal_bimodal,180,30,120,20,0.2,300,50.0,287.1294515379335,3 1|0 4|1 4,6.8113364
155,Normal_bimodal,180,30,120,20,0.4,300,5.0,265.7891692075766,1 1|1 5|4 3,2.0376243
156,Normal_bimodal,180,30,120,20,0.4,300,15.0,265.7891692075766,3 0|4 3|1 1,6.716732
157,Normal_bimodal,180,30,120,20,0.4,300,25.0,265.7891692075766,3 0|4 3|1 1,7.3199208
158,Normal_bimodal,180,30,120,20,0.4,300,40.0,265.7891692075766,3 0|4 3|1 1,6.4337037
159,Normal_bimodal,180,30,120,20,0.4,300,50.0,265.7891692075766,3 0|4 3|1 1,6.3490344
160,Normal_bimodal,180,30,120,20,0.5,300,5.0,255.52379883720613,1 1|1 5|4 3,1.8781261
161,Normal_bimodal,180,30,120,20,0.5,300,15.0,251.82050440012912,0 3|4 1|5 3,6.2896213
162,Normal_bimodal,180,30,120,20,0.5,300,25.0,251.82050440012912,0 3|4 1|5 3,6.4516443
163,Normal_bimodal,180,30,120,20,0.5,300,40.0,251.82050440012912,0 3|4 1|5 3,6.3638376
164,Normal_bimodal,180,30,120,20,0.5,300,50.0,251.82050440012912,0 3|4 1|5 3,6.5121577
165,Normal_bimodal,180,30,120,20,0.6,300,5.0,245.3916229112802,1 1|1 5|4 3,1.8426464
166,Normal_bimodal,180,30,120,20,0.6,300,15.0,242.7042432408373,3 5|0 4|4 3,6.0872923
167,Normal_bimodal,180,30,120,20,0.6,300,25.0,242.7042432408373,3 5|0 4|4 3,6.1350772
168,Normal_bimodal,180,30,120,20,0.6,300,40.0,242.7042432408373,3 5|0 4|4 3,6.1538573
169,Normal_bimodal,180,30,120,20,0.6,300,50.0,242.7042432408373,3 5|0 4|4 3,6.0357461
170,Normal_bimodal,180,30,120,20,0.8,300,5.0,224.9196131888886,1 2|4 1|3 5,1.7582135
171,Normal_bimodal,180,30,120,20,0.8,300,15.0,223.56881508921197,1 1|5 5|1 4,6.3258928
172,Normal_bimodal,180,30,120,20,0.8,300,25.0,223.56881508921197,1 1|5 5|1 4,6.2776166
173,Normal_bimodal,180,30,120,20,0.8,300,40.0,223.56881508921197,1 1|5 5|1 4,6.0605613
174,Normal_bimodal,180,30,120,20,0.8,300,50.0,223.56881508921197,1 1|5 5|1 4,6.0995812
175,Normal_bimodal,180,30,120,10,0.2,300,5.0,287.42246079719274,1 1|1 5|4 3,1.8763537
176,Normal_bimodal,180,30,120,10,0.2,300,15.0,287.42246079719274,3 1|0 4|1 4,5.9382242
177,Normal_bimodal,180,30,120,10,0.2,300,25.0,287.42246079719274,3 1|0 4|1 4,5.8755644
178,Normal_bimodal,180,30,120,10,0.2,300,40.0,287.42246079719274,3 1|0 4|1 4,5.8414369
179,Normal_bimodal,180,30,120,10,0.2,300,50.0,287.42246079719274,3 1|0 4|1 4,5.8577167
180,Normal_bimodal,180,30,120,10,0.4,300,5.0,266.0589840223913,1 1|1 5|4 3,1.7031489
181,Normal_bimodal,180,30,120,10,0.4,300,15.0,266.0589840223913,3 0|4 3|1 1,6.1475433
182,Normal_bimodal,180,30,120,10,0.4,300,25.0,266.0589840223913,3 0|4 3|1 1,5.8870144
183,Normal_bimodal,180,30,120,10,0.4,300,40.0,266.0589840223913,3 0|4 3|1 1,5.9293009
184,Normal_bimodal,180,30,120,10,0.4,300,50.0,266.0589840223913,3 0|4 3|1 1,5.9164139
185,Normal_bimodal,180,30,120,10,0.5,300,5.0,255.75889142979878,1 1|1 5|4 3,1.7597641
186,Normal_bimodal,180,30,120,10,0.5,300,15.0,252.04334390630197,0 3|4 1|5 3,5.9325245
187,Normal_bimodal,180,30,120,10,0.5,300,25.0,252.04334390630197,0 3|4 1|5 3,5.8992597
188,Normal_bimodal,180,30,120,10,0.5,300,40.0,252.04334390630197,0 3|4 1|5 3,6.0048191
189,Normal_bimodal,180,30,120,10,0.5,300,50.0,252.04334390630197,0 3|4 1|5 3,5.9600941
190,Normal_bimodal,180,30,120,10,0.6,300,5.0,245.71889142979876,1 1|1 5|4 3,1.7779269
191,Normal_bimodal,180,30,120,10,0.6,300,15.0,242.80753027787435,3 5|0 4|4 3,6.0248896
192,Normal_bimodal,180,30,120,10,0.6,300,25.0,242.80753027787435,3 5|0 4|4 3,5.8829998
193,Normal_bimodal,180,30,120,10,0.6,300,40.0,242.80753027787435,3 5|0 4|4 3,5.9082431
194,Normal_bimodal,180,30,120,10,0.6,300,50.0,242.80753027787435,3 5|0 4|4 3,5.8440719
195,Normal_bimodal,180,30,120,10,0.8,300,5.0,224.6736872629627,1 2|4 1|3 5,1.6745771
196,Normal_bimodal,180,30,120,10,0.8,300,15.0,223.42532743489096,1 1|5 5|1 4,6.1067767
197,Normal_bimodal,180,30,120,10,0.8,300,25.0,223.42532743489096,1 1|5 5|1 4,5.9262574
198,Normal_bimodal,180,30,120,10,0.8,300,40.0,223.42532743489096,1 1|5 5|1 4,5.9208138
